koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
FALSE POSITIVE,0.0,0,1,1,1,10.63624422,5.22e-05,-5.22e-05,171.69616,0.00417,-0.00417,0.978,0.041,-0.721,5.055,0.275,-0.275,232.0,9.9,-9.9,1.58,0.39,-0.12,756.0,77.02,55.29,-18.75,24.7,1.0,5834.0,157.0,-157.0,4.591,0.038,-0.161,0.774,0.188,-0.063,285.3385,46.309872,14.433
CANDIDATE,0.23,0,0,0,0,502.25648,0.042,-0.042,162.5842,0.076,-0.076,0.05,0.403,-0.05,14.84,1.7,-1.7,153.0,24.3,-24.3,1.03,0.22,-0.15,215.0,0.51,0.33,-0.18,8.1,1.0,5637.0,169.0,-152.0,4.46,0.135,-0.165,0.833,0.18,-0.12,290.89395,45.71664,13.339
CANDIDATE,0.181,0,0,0,0,399.37587,0.0688,-0.0688,300.0792,0.093,-0.093,0.556,0.009,-0.502,21.25,5.0,-5.0,552.0,71.9,-71.9,3.93,1.05,-1.4,326.0,2.66,2.19,-1.72,11.9,1.0,6098.0,195.0,-238.0,4.069,0.322,-0.161,1.618,0.431,-0.575,289.7308,43.497368,13.281
CONFIRMED,1.0,0,0,0,0,5.433132902,9.53e-06,-9.53e-06,138.36644,0.00148,-0.00148,0.72,0.174,-0.479,2.4012,0.0411,-0.0411,328.0,10.7,-10.7,1.61,0.06,-0.12,841.0,118.56,17.92,-22.55,33.1,3.0,4963.0,81.0,-74.0,4.501,0.072,-0.022,0.826,0.032,-0.06,294.66797,43.85326,14.55
CANDIDATE,0.771,0,0,0,0,82.331756,0.00198,-0.00198,133.0814,0.0184,-0.0184,0.027,0.425,-0.027,8.664,0.655,-0.655,283.0,28.1,-28.1,2.08,0.34,-0.28,474.0,11.96,5.14,-3.47,11.9,1.0,5997.0,81.0,-81.0,4.304,0.099,-0.121,1.242,0.204,-0.167,287.32269,38.279709,14.872
CANDIDATE,1.0,0,0,0,0,12.18420006,4.13e-05,-4.13e-05,139.05644,0.00282,-0.00282,0.746,0.035,-0.533,2.5014,0.0863,-0.0863,499.0,22.5,-22.5,2.59,0.39,-0.29,819.0,106.52,44.98,-29.08,23.3,1.0,5771.0,104.0,-115.0,4.374,0.105,-0.105,1.068,0.161,-0.12,290.32867,37.72311,13.982
CONFIRMED,0.996,0,0,0,0,8.38395796,8.45e-05,-8.45e-05,134.41408,0.00829,-0.00829,0.892,0.053,-0.601,5.2,0.232,-0.232,109.0,8.9,-8.9,3.24,0.56,-1.03,1285.0,645.64,290.81,-364.83,14.1,1.0,5405.0,75.0,-86.0,3.741,0.217,-0.093,2.605,0.447,-0.831,292.12521,41.40781,14.667
CONFIRMED,1.0,0,0,0,0,4.030466786,1.57e-06,-1.57e-06,171.092308,0.000301,-0.000301,0.033,0.283,-0.033,2.7734,0.0149,-0.0149,2910.0,14.8,-14.8,4.48,0.42,-0.21,970.0,209.11,61.29,-33.65,227.4,2.0,5234.0,103.0,-103.0,4.542,0.028,-0.083,0.854,0.08,-0.04,298.55084,48.332451,14.924
CONFIRMED,1.0,0,0,0,0,23.08902241,2.41e-05,-2.41e-05,171.007634,0.000811,-0.000811,0.32,0.1,-0.32,1.7012,0.0301,-0.0301,598.0,11.7,-11.7,1.24,0.08,-0.12,338.0,3.1,0.7,-0.78,57.4,2.0,3846.0,77.0,-84.0,4.738,0.052,-0.024,0.503,0.032,-0.048,290.3815,43.292988,12.925
FALSE POSITIVE,0.002,0,0,1,0,1.41435861,1.44e-05,-1.44e-05,132.69838,0.00846,-0.00846,0.189,0.296,-0.189,2.285,0.262,-0.262,56.8,7.3,-7.3,0.74,0.25,-0.13,1578.0,1458.2,1479.9,-594.53,9.5,1.0,5470.0,164.0,-164.0,4.366,0.168,-0.231,0.994,0.336,-0.181,294.94873,45.210251,14.842
